Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-25,74250.57420339122,74442.68435656946,73290.0234375,73290.0234375,15549134,0.0,0.0
2024-04-26,74730.85593220338,74826.91101694915,73482.13983050847,73674.25,12755629,0.0,0.0
2024-04-29,74346.63559322033,74538.74576271186,73193.97457627118,73674.25,14664474,0.0,0.0
2024-04-30,73962.41985887097,75403.24621975806,73578.19949596774,74442.6953125,19007007,0.0,0.0
2024-05-02,74538.7483974359,75499.29927884616,74250.58313301283,74922.96875,18900640,0.0,0.0
2024-05-03,75883.5212628866,75883.5212628866,74442.69490979382,74538.75,13151889,0.0,0.0
2024-05-07,76459.84486469865,78092.78125,76267.73470172202,78092.78125,26238868,0.0,0.0
2024-05-08,77612.50584255843,78188.83633148832,77324.34059809348,78092.78125,13089576,0.0,0.0
2024-05-09,77900.66955183502,78284.88987021644,76555.8984375,76555.8984375,18759935,0.0,0.0
2024-05-10,77228.30184659091,77900.68755918561,75787.47531960228,76075.640625,16976124,0.0,0.0
2024-05-13,76267.7383609694,76748.01379145408,74538.7468112245,75307.1875,18652344,0.0,0.0
2024-05-14,75499.29807231801,75691.40824553001,74826.91246607598,75211.1328125,11763992,0.0,0.0
2024-05-16,77036.18787963556,77132.24297674233,75019.03084039323,75115.0859375,20989778,0.0,0.0
2024-05-17,75499.2937863372,75691.4039486434,74154.5226501938,74346.6328125,15918201,0.0,0.0
2024-05-20,75019.0357355038,75979.58676924906,74826.92552875476,75787.4765625,19456783,0.0,0.0
2024-05-21,75403.24258609694,75883.51801658164,75115.07732780612,75307.1875,13690583,0.0,0.0
2024-05-22,75019.02504625161,75595.35558437902,74250.58432874839,74634.8046875,19521506,0.0,0.0
2024-05-23,74634.80229286398,75979.57350534802,74058.47177322797,75211.1328125,18728087,0.0,0.0
2024-05-24,73770.30830039525,73962.41847826086,72713.70232213438,72905.8125,27891278,0.0,0.0
2024-05-27,72329.48449643783,75115.08217292746,71080.76829663213,74154.53125,43825202,0.0,0.0
2024-05-28,73482.14400773196,74922.97036082474,73193.9787371134,74538.75,18539072,0.0,0.0
2024-05-29,74634.81507646276,75115.09059175532,72233.4375,72233.4375,30244875,0.0,0.0
2024-05-30,71849.1924744898,72233.41275510205,70600.4765625,70600.4765625,28551273,0.0,0.0
2024-05-31,71561.02726403062,71753.13740433674,70600.4765625,70600.4765625,26198776,0.0,0.0
2024-06-03,71464.9946334214,73386.09663969617,71272.88443279392,72713.7109375,15706268,0.0,0.0
2024-06-04,71945.25623547476,73097.91721655047,71945.25623547476,72329.4765625,14098053,0.0,0.0
2024-06-05,74922.96329941861,74922.96329941861,73770.30232558139,74346.6328125,23177968,0.0,0.0
2024-06-07,75307.1840232859,75499.2941866106,74058.46796167528,74250.578125,21189349,0.0,0.0
2024-06-10,73097.93133875495,73578.20684032365,72617.65583718626,72713.7109375,14598755,0.0,0.0
2024-06-11,72905.82322140958,73001.87832446808,72137.3823969415,72233.4375,16971175,0.0,0.0
2024-06-12,72329.47190563726,74058.46326593136,72233.41683006535,73482.1328125,19246725,0.0,0.0
2024-06-13,75307.1867048346,75883.5172153308,74730.85619433843,75499.296875,33763804,0.0,0.0
2024-06-14,76555.91447471733,77324.35527245603,75883.52877669598,76459.859375,22926612,0.0,0.0
